Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0001318,eDeveloperz - v8,vishal.r,Abhishek rajbhar,high,major,have not tried,,Collaboration,2020-07-19,,,,public,2020-07-20,V8 global dashboard:Google and Bing data aremismatch.,resolved,open,
0001194,eDeveloperz - v8,vishal.r,administrator,high,major,have not tried,,Collaboration,2020-07-09,,,,public,2020-07-20,V8 Pending issue:Remove create new issue option from reseller and other client login too.,assigned,open,
0001294,eDeveloperz - v8,vishal.r,Abhishek rajbhar,normal,minor,have not tried,,UI,2020-07-17,,,,public,2020-07-20,V8 global dashboard:Add appropiate message when there is no seo report.,resolved,fixed,
0001320,eDeveloperz - v8,vishal.r,anant,high,major,have not tried,,General,2020-07-19,,,,public,2020-07-19,v8 Project dashboard:Please show reseller logo.,assigned,open,
0001275,eDeveloperz - v8,vishal.r,Abhishek rajbhar,high,major,have not tried,,Collaboration,2020-07-16,,,,public,2020-07-19,V8 global dashboard:Audit report issue.,resolved,fixed,
0001322,eDeveloperz - v8,vishal.r,administrator,high,major,have not tried,,Collaboration,2020-07-19,,,,public,2020-07-19,v8 Project dashboard: PPC data is missing and social design issue.,assigned,open,
0001321,eDeveloperz - v8,vishal.r,administrator,high,major,have not tried,,General,2020-07-19,,,,public,2020-07-19,v8 Project dashboard:Visitor By device graph is not plotted.,assigned,open,
0001319,eDeveloperz - v8,vishal.r,abdul,normal,minor,have not tried,,General,2020-07-19,,,,public,2020-07-19,"V8 global dashboard:Please make or convert to 1k,If it is 1000.",assigned,open,
0001317,eDeveloperz - v8,vishal.r,administrator,normal,minor,have not tried,,General,2020-07-19,,,,public,2020-07-19,"v8 Project dashboard: Recrawler website,Benchmark and payment is present on second level reseller.",assigned,open,
0001316,eDeveloperz - v8,vishal.r,administrator,high,major,have not tried,,General,2020-07-19,,,,public,2020-07-19,v8 Project dashboard: Social overview section is missing.,assigned,open,
0001315,eDeveloperz - v8,vishal.r,administrator,high,major,have not tried,,General,2020-07-19,,,,public,2020-07-19,v8 Project dashboard:Visibility score is missing.,assigned,open,
0001314,eDeveloperz - v8,vishal.r,administrator,normal,minor,have not tried,,UI,2020-07-19,,,,public,2020-07-19,"v8 Project dashboard: Reviews,star highlighting issue.",assigned,open,
0001313,eDeveloperz - v8,vishal.r,abdul,high,major,have not tried,,Collaboration,2020-07-19,,,,public,2020-07-19,V8:free trail reseller: Home and project tab functionality issue.,assigned,open,
0001312,eDeveloperz - v8,vishal.r,abdul,high,major,have not tried,,General,2020-07-19,,,,public,2020-07-19,V8:free trail reseller details form validation.,assigned,open,
0001311,eDeveloperz - v8,vishal.r,abdul,high,major,have not tried,,Collaboration,2020-07-19,,,,public,2020-07-19,v8 Project dashboard: data and logo missing in client under reseller dashboard,assigned,open,
0001310,eDeveloperz - v8,vishal.r,abdul,normal,minor,have not tried,,Collaboration,2020-07-19,,,,public,2020-07-19,V8 global dashboard:Select 'All project' option in filter project dropdown.,assigned,open,
0001225,eDeveloperz - v8,vishal.r,mdbhoraniya,high,major,have not tried,,Social System,2020-07-13,,,,public,2020-07-18,V8 Social Module:Please do space validation in rejected all.,resolved,open,
0001299,eDeveloperz - v8,vishal.r,abdul,high,major,have not tried,,UI,2020-07-17,,,,public,2020-07-17,V8 global dashboard:Logo missing in admin staff under second level reseller.,assigned,open,
0001298,eDeveloperz - v8,vishal.r,abdul,high,major,have not tried,,UI,2020-07-17,,,,public,2020-07-17,V8 global dashboard:Logo missing in staff under second reseller.,assigned,open,
0001297,eDeveloperz - v8,vishal.r,abdul,high,major,have not tried,,UI,2020-07-17,,,,public,2020-07-17,v8 Project dashboard: Left menu and data are missing in client under second reseller.,assigned,open,
0001295,eDeveloperz - v8,vishal.r,abdul,high,major,have not tried,,UI,2020-07-17,,,,public,2020-07-17,V8 global dashboard:Logo missing in second level reseller.,assigned,open,
0001282,eDeveloperz - v8,vishal.r,abdul,high,major,have not tried,,Collaboration,2020-07-16,,,,public,2020-07-17,V8 global dashboard:Top menu and left issues with Direct Client Login,assigned,open,
